lng,lat,maydoni,narxi
69.2916824,41.341492,63.0,42500.0
69.2917471,41.2866048,111.0,59486.0
69.2920884,41.3094573,66.66666666666667,69666.66666666667
69.2922234,41.3104865,74.62037037037037,82686.07407407407
69.2922234,41.3777696,70.08333333333333,46416.666666666664
69.2927161,41.3051119,140.0,230000.0
69.2928295,41.3356091,63.0,73000.0
69.2931935,41.3142351,94.0,125000.0
69.293391,41.314662,64.86538461538461,53981.63461538462
69.293694,41.369675,74.4,57900.0
69.2937067,41.3143296,94.0,85000.0
69.2937133,41.2758912,97.41573033707866,98796.58426966293
69.2940115,41.3206957,94.0,118000.0
69.2942247,41.3180348,67.0,52000.0
69.2942285,41.325724,91.42857142857143,136000.0
69.2943209,41.3000778,65.0,60000.0
69.2944545,41.3604714,21.0,12500.0
69.2944583,41.363177,82.7325,58027.75
69.2946446,41.3125933,55.0,35000.0
69.2946599,41.2913335,65.0,29500.0
69.2948592,41.3173835,82.2,64200.0
69.294961,41.2679301,51.333333333333336,31100.0
69.2951929,41.3201651,85.0,130750.0
69.2953473,41.2759614,95.875,74812.375
69.2956638,41.3795538,33.0,21800.0
69.296941,41.282487,48.0,38500.0
69.2972856,41.3248901,120.66666666666667,220666.66666666666
69.2981832,41.2466472,68.0,48000.0
69.2981832,41.3692799,68.42307692307692,45884.53846153846
69.2982672,41.3242397,110.3,139100.0
69.298313,41.324301,103.0,167500.0
69.2985928,41.3196336,76.83333333333333,74533.33333333333
69.2992286,41.2730207,75.0,55000.0
69.2993794,41.3203273,179.66666666666666,144000.0
69.2996732,41.3587493,72.36589743589744,50282.05128205128
69.300233,41.285135,111.75,66000.0
69.300675,41.3614404,101.0,61775.0
69.3013941,41.3610095,65.0,34000.0
69.3013967,41.3200874,97.62068965517241,93172.41379310345
69.3014547,41.3194846,102.4,101800.0
69.3016243,41.2478256,38.0,23000.0
69.3016346,41.2499464,92.0,60000.0
69.301793,41.3279327,100.5,104961.0
69.3019081,41.3825869,81.73333333333333,49526.666666666664
69.3020656,41.3163152,131.875,155074.125
69.303611,41.322142,63.1,54103.379310344826
69.303727,41.3209122,82.16666666666667,85138.83333333333
69.3038473,41.3742504,99.5,96500.0
69.3041431,41.3776023,66.5095,45460.0
69.3041867,41.3682259,142.5,93500.0
69.3043864,41.2994942,39.0,28000.0
69.3046892,41.3200105,87.86666666666667,83000.0
69.3048756,41.3275712,103.14285714285714,150714.2857142857
69.304888,41.2509119,47.2,28700.0
69.3049768,41.2799769,88.875,95750.0
69.3056796,41.3310007,76.5,68500.0
69.3056819,41.3024361,26.0,22000.0
69.3056839,41.3306034,90.0,75000.0
69.3057436,41.3740552,82.96,53000.0
69.3057451,41.2788072,101.8,88999.8
69.3059135,41.3815703,95.0,62000.0
69.3059645,41.3745048,60.0,44000.0
69.3066063,41.3200795,76.285,63500.0
69.307123,41.2459142,67.1225,41812.5
69.307123,41.3709551,90.0,53458.333333333336
69.3078679,41.3080076,49.1875,41893.75
69.3081129,41.2652378,72.0,50000.0
69.3085324,41.3444467,97.026,69199.4
69.3092476,41.3312004,76.03333333333333,69433.33333333333
69.3095569,41.2727183,100.0,145000.0
69.309823,41.3057763,71.5,29504.0
